titulo,descricao,ocupacao,tarefa
0101-05 Oficial General da Aeronáutica - Brigadeiro; Major-brigadeiro; Marechal- do-ar; Tenente-brigadeiro.,"As funções deste grupo consistem em manter, cumprir e defender a Constituição Federal dentro da sua esfera de atribuições; observar as leis; promover as condições de segurança necessárias para o desenvolvimento e o bem-estar geral; e defender a integridade terri­ torial e a soberania do país. Para isso, dirigem e orientam órgãos superiores das Forças Armadas; planejam e conduzem os diversos assuntos da área militar; e assessoram na realização das políticas públicas na esfera federal.",010105,Abstrata
0101-10 Oficial General do Exército - General-de-brigada; General-de-divisão; Ge­ neral-de-exército; Marechal.,"As funções deste grupo consistem em manter, cumprir e defender a Constituição Federal dentro da sua esfera de atribuições; observar as leis; promover as condições de segurança necessárias para o desenvolvimento e o bem-estar geral; e defender a integridade terri­ torial e a soberania do país. Para isso, dirigem e orientam órgãos superiores das Forças Armadas; planejam e conduzem os diversos assuntos da área militar; e assessoram na realização das políticas públicas na esfera federal.",010110,Abstrata
0101-15 Oficial General da Marinha - Almirante; Almirante-de-esquadra; Contra- almirante; Vice-almirante.,"As funções deste grupo consistem em manter, cumprir e defender a Constituição Federal dentro da sua esfera de atribuições; observar as leis; promover as condições de segurança necessárias para o desenvolvimento e o bem-estar geral; e defender a integridade terri­ torial e a soberania do país. Para isso, dirigem e orientam órgãos superiores das Forças Armadas; planejam e conduzem os diversos assuntos da área militar; e assessoram na realização das políticas públicas na esfera federal.",010115,Abstrata
0102-05 Oficial da Aeronáutica - Capitão; Coronel; Major; Primeiro-tenente; Se­ gundo-tenente; Tenente-coronel.,"Estão compreendidas nesta família ocupacional as pessoas que servem voluntariamen­ te às Forças Armadas e que, por determinação legal, dedicam-se exclusivamente a esse serviço, não podendo aceitar emprego civil, exceto os cargos civis de natureza militar previstos em legislação específica. Suas funções consistem em manter, cumprir e de­ fender a Constituição Federal, dentro da sua esfera de atribuições; observar as leis; pro­ mover as condições de segurança necessárias para o desenvolvimento e o bem-estar geral; e defender a integridade territorial e a soberania do país. Abrange os membros permanentes das Forças Armadas e o pessoal que se acha temporariamente em serviço ativo, por período estabelecido em leis ou regulamentos específicos, incorporados às Forças Armadas após realizarem cursos e programas de treinamento.",010205,Abstrata
0102-10 Oficial do Exército - Capitão; Coronel; Major; Primeiro-tenente; Segundo- tenente; Tenente-coronel.,"Estão compreendidas nesta família ocupacional as pessoas que servem voluntariamen­ te às Forças Armadas e que, por determinação legal, dedicam-se exclusivamente a esse serviço, não podendo aceitar emprego civil, exceto os cargos civis de natureza militar previstos em legislação específica. Suas funções consistem em manter, cumprir e de­ fender a Constituição Federal, dentro da sua esfera de atribuições; observar as leis; pro­ mover as condições de segurança necessárias para o desenvolvimento e o bem-estar geral; e defender a integridade territorial e a soberania do país. Abrange os membros permanentes das Forças Armadas e o pessoal que se acha temporariamente em serviço ativo, por período estabelecido em leis ou regulamentos específicos, incorporados às Forças Armadas após realizarem cursos e programas de treinamento.",010210,Abstrata
0102-15 Oficial da Marinha - Capitão-de-corveta; Capitão-de-fragata; Capitão-de- mar-e-guerra; Capitão-tenente; Primeiro-tenente; Segundo-tenente.,"Estão compreendidas nesta família ocupacional as pessoas que servem voluntariamen­ te às Forças Armadas e que, por determinação legal, dedicam-se exclusivamente a esse serviço, não podendo aceitar emprego civil, exceto os cargos civis de natureza militar previstos em legislação específica. Suas funções consistem em manter, cumprir e de­ fender a Constituição Federal, dentro da sua esfera de atribuições; observar as leis; pro­ mover as condições de segurança necessárias para o desenvolvimento e o bem-estar geral; e defender a integridade territorial e a soberania do país. Abrange os membros permanentes das Forças Armadas e o pessoal que se acha temporariamente em serviço ativo, por período estabelecido em leis ou regulamentos específicos, incorporados às Forças Armadas após realizarem cursos e programas de treinamento.",010215,Abstrata
0103-05 Praça da aeronáutica - Cabo; Primeiro-sargento; Segundo-sargento; Solda­ do; Suboficial; Taifeiro; Taifeiro-mor; Terceiro-sargento.,"Estão compreendidas nesta família ocupacional as pessoas que servem voluntária ou obrigatoriamente às Forças Armadas e que, por determinação legal, dedicam-se exclusi­ vamente a esse serviço, não podendo aceitar emprego civil, exceto os cargos civis de na­ tureza militar previstos em legislação específica. Abrange os membros permanentes das Forças Armadas e o pessoal que se acha temporariamente em serviço ativo, por período estabelecido em leis ou regulamentos específicos, incorporados às as Forças Armadas após realizarem cursos e programas de treinamento.",010305,Abstrata
0103-10 Praça do exército - Cabo; Primeiro-sargento; Segundo-sargento; Soldado;  Subtenente; Taifeiro; Taifeiro-mor; Terceiro-sargento.,"Estão compreendidas nesta família ocupacional as pessoas que servem voluntária ou obrigatoriamente às Forças Armadas e que, por determinação legal, dedicam-se exclusi­ vamente a esse serviço, não podendo aceitar emprego civil, exceto os cargos civis de na­ tureza militar previstos em legislação específica. Abrange os membros permanentes das Forças Armadas e o pessoal que se acha temporariamente em serviço ativo, por período estabelecido em leis ou regulamentos específicos, incorporados às as Forças Armadas após realizarem cursos e programas de treinamento.",010310,Abstrata
0103-15 Praça da marinha - Cabo; Marinheiro; Primeiro-sargento; Segundo-sargento;  Soldado fuzileiro naval; Suboficial; Terceiro-sargento.,"Estão compreendidas nesta família ocupacional as pessoas que servem voluntária ou obrigatoriamente às Forças Armadas e que, por determinação legal, dedicam-se exclusi­ vamente a esse serviço, não podendo aceitar emprego civil, exceto os cargos civis de na­ tureza militar previstos em legislação específica. Abrange os membros permanentes das Forças Armadas e o pessoal que se acha temporariamente em serviço ativo, por período estabelecido em leis ou regulamentos específicos, incorporados às as Forças Armadas após realizarem cursos e programas de treinamento.",010315,Abstrata
0201-05 Coronel da Polícia Militar,"Comandam unidades de Polícia Militar e elaboram plano diretor da instituição. Planejam ações estratégicas, definem ações táticas e executam ações operacionais. Gerenciam ativi­ dades administrativas, administram recursos humanos e mantêm hierarquia e disciplina.",020105,Abstrata
