titulo,descricao,formacao
"0101-05 Oficial General da Aeronáutica - Brigadeiro; Major-brigadeiro; Marechal-
do-ar; Tenente-brigadeiro.     
0101-10 Oficial General do Exército - General-de-brigada; General-de-divisão; Ge­
neral-de-exército; Marechal.     
0101-15 Oficial General da Marinha - Almirante; Almirante-de-esquadra; Contra-
almirante; Vice-almirante.","As funções deste grupo consistem em manter, cumprir e defender a Constituição Federal 
dentro da sua esfera de atribuições; observar as leis; promover as condições de segurança 
necessárias para o desenvolvimento e o bem-estar geral; e defender a integridade terri­
torial e a soberania do país. Para isso, dirigem e orientam órgãos superiores das Forças 
Armadas; planejam e conduzem os diversos assuntos da área militar; e assessoram na 
realização das políticas públicas na esfera federal.","Geralmente os oficiais generais contam com mais de 35 anos de experiência profissional 
e possuem os cursos de altos estudos militares e de política e estratégia, feitos na escola 
superior de guerra (esg) ou nas escolas de altos estudos militares de cada força armada, 
os quais equivalem ao doutorado na área civil."
"0102-05 Oficial da Aeronáutica - Capitão; Coronel; Major; Primeiro-tenente; Se­
gundo-tenente; Tenente-coronel.
0102-10 Oficial do Exército - Capitão; Coronel; Major; Primeiro-tenente; Segundo-
tenente; Tenente-coronel.
0102-15 Oficial da Marinha - Capitão-de-corveta; Capitão-de-fragata; Capitão-de-
mar-e-guerra; Capitão-tenente; Primeiro-tenente; Segundo-tenente.","Estão compreendidas nesta família ocupacional as pessoas que servem voluntariamen­
te às Forças Armadas e que, por determinação legal, dedicam-se exclusivamente a esse 
serviço, não podendo aceitar emprego civil, exceto os cargos civis de natureza militar 
previstos em legislação específica. Suas funções consistem em manter, cumprir e de­
fender a Constituição Federal, dentro da sua esfera de atribuições; observar as leis; pro­
mover as condições de segurança necessárias para o desenvolvimento e o bem-estar 
geral; e defender a integridade territorial e a soberania do país. Abrange os membros 
permanentes das Forças Armadas e o pessoal que se acha temporariamente em serviço 
ativo, por período estabelecido em leis ou regulamentos específicos, incorporados às 
Forças Armadas após realizarem cursos e programas de treinamento.","O ingresso na carreira de oficial é feito no posto inicial, conforme legislação específica 
de cada Força Armada e demais exigências legais. Os oficiais de carreira ingressam por 
concurso público nas escolas de formação de oficiais da respectiva Força Armada – Ma­
rinha, Exército ou Aeronáutica – ,que são estabelecimentos federais de ensino superior. 
Após o curso são declarados Guardas-Marinha (na Marinha) ou Aspirantes-a-oficial 
(no Exército e na Aeronáutica), que em analogia com legislação civil se assemelham 
a bacharéis em Ciências Militares. Após formados oficiais, realizam diversos estágios 
e cursos, que os qualificam ao exercício de funções nas áreas administrativas, opera­
cionais e técnicas. Podem, também, ingressar  já formados em curso universitário civil, 
mediante concurso público. No posto de Capitão-tenente ou Capitão passam obriga­
toriamente por um curso de aperfeiçoamento que os habilita ao exercício de funções 
técnicas, atuando como assessores da alta direção dos órgãos das Forças Armadas.  A 
partir do posto de Capitão-de-corveta ou Major fazem, mediante seleção específica, o 
curso de Altos Estudos Militares, equivalente ao doutorado na área civil, em escola da 
respectiva Força Armada. Podem realizar, ainda, no posto de Capitão-de-mar-e-guerra 
ou Coronel, o Curso de Política, Estratégia e Alta Administração, frequentando-o na 
Escola Superior de Guerra ou numa das escolas de nível superior equivalentes da res­
pectiva Força Armada."
"0103-05 Praça da aeronáutica - Cabo; Primeiro-sargento; Segundo-sargento; Solda­
do; Suboficial; Taifeiro; Taifeiro-mor; Terceiro-sargento.
0103-10 Praça do exército - Cabo; Primeiro-sargento; Segundo-sargento; Soldado; 
Subtenente; Taifeiro; Taifeiro-mor; Terceiro-sargento.
0103-15 Praça da marinha - Cabo; Marinheiro; Primeiro-sargento; Segundo-sargento; 
Soldado fuzileiro naval; Suboficial; Terceiro-sargento.","Estão compreendidas nesta família ocupacional as pessoas que servem voluntária ou 
obrigatoriamente às Forças Armadas e que, por determinação legal, dedicam-se exclusi­
vamente a esse serviço, não podendo aceitar emprego civil, exceto os cargos civis de na­
tureza militar previstos em legislação específica. Abrange os membros permanentes das 
Forças Armadas e o pessoal que se acha temporariamente em serviço ativo, por período 
estabelecido em leis ou regulamentos específicos, incorporados às as Forças Armadas 
após realizarem cursos e programas de treinamento.","O acesso à carreira é feito, normalmente, por concurso público para as escolas de forma­
ção de graduados, abrangendo os ensinos fundamental e médio. Após o curso, as praças 
são promovidas a marinheiro (na marinha) ou soldado (no exército e na aeronáutica). A 
partir daí frequentam estágios e cursos que os qualificam ao exercício de funções nas 
áreas administrativas, operacionais e técnicas. O ingresso no círculo dos suboficiais e 
sargentos das Forças Armadas se dá mediante frequência ao curso de formação de sar­
gentos, específico de cada força armada. A carreira é regulamentada pelo Estatuto dos 
Militares (Lei nº 6.880, de 09 de dezembro de 1980) e é considerada típica de estado. É 
estruturada em várias graduações hierárquicas que são galgadas de forma seletiva, gra­
dual e sucessiva, através de rigoroso processo de avaliação."
"0201-05 Coronel da Polícia Militar   
0201-10 Tenente-Coronel da Polícia Militar   
0201-15 Major da Polícia Militar","Comandam unidades de Polícia Militar e elaboram plano diretor da instituição. Planejam 
ações estratégicas, definem ações táticas e executam ações operacionais. Gerenciam ativi­
dades administrativas, administram recursos humanos e mantêm hierarquia e disciplina.","Para o exercício dessas ocupações requer-se curso de formação de oficiais em academia 
da Polícia Militar. A ascensão aos postos de oficiais superiores ocorre de forma  gradual, 
geralmente após mais de cinco anos de oficialato."
0202-05 Capitão da Polícia Militar,"Comandam operações de polícia ostensiva, planejam ações de policiamento ostensivo, 
desenvolvem policiamento comunitário. Gerenciam companhia de polícia e assessoram 
comando. Exercem poder disciplinar e presidem feitos de polícia judiciária militar.","Para o exercício dessas ocupações requer-se curso de formação de oficiais em aca­
demia da Polícia Militar e especialização profissional. O exercício pleno da ocupação 
ocorre com mais de cinco anos de experiência na área."
"0203-05 Primeiro Tenente de Polícia Militar
0203-10 Segundo Tenente de Polícia Militar","Comandam pelotão, coordenam policiamento ostensivo, reservado e velado; assesso­
ram comando, gerenciam recursos humanos e logísticos, participam do planejamento 
de ações e operações, desenvolvem processos e procedimentos administrativos mili­
tares, atuam na coordenação da comunicação social;  promovem estudos técnicos e 
capacitação profissional.","Para o exercício dessas ocupações requer-se curso de formação de oficiais em acade­
mia da Polícia Militar."
"0211-05 Subtenente da Polícia Militar
0211-10 Sargento da Policía Militar","Comandam o grupo e a guarda do quartel. Assessoram o comando, administram as ati­
vidades da unidade e participam na formação de policiais. Supervisionam policiamento 
ostensivo e organizam processos e procedimentos administrativo-militares. Atendem a 
ocorrências e as apresentam à autoridade competente. Prestam serviços comunitários.","Para o exercício dessas ocupações requer-se escolaridade de nível médio e cursos pro­
fissionalizantes de nível técnico realizados em escolas da Polícia Militar. O exercício 
pleno das atividades ocorre, em média, após quatro a cinco anos para Sargento da 
Polícia Militar e mais de cinco anos para Subtenente da Polícia Militar."
"0212-05 Cabo da Polícia Militar
0212-10 Soldado da Polícia Militar","Realizam policiamento ostensivo preventivo fardado e atendem e solucionam ocorrên­
cias. Executam atividades operacionais e policiamento reservado. Restabelecem ordem 
pública, controlam distúrbios civis e garantem cumprimento de mandado judicial.","Para o exercício dessas ocupações requer-se escolaridade de nível médio e qualifica­
ção profissional de nível técnico. O exercício pleno da ocupação de cabo da Polícia 
Militar ocorre após um a dois anos de experiência."
"0301-05 Coronel Bombeiro Militar - Coronel do Corpo de Bombeiros Militar.
0301-10 Major Bombeiro Militar - Major do Corpo de Bombeiros Militar.
0301-15 Tenente-Coronel Bombeiro Militar - Tenente-coronel do Corpo de Bom­
beiros Militar.","Definem estratégias e comandam unidades operacionais e administrativas do Corpo 
de Bombeiros, destinadas à proteção da vida e do patrimônio do cidadão e ao meio 
ambiente. Gerenciam pessoal e recursos financeiros; controlam logística e dirigem 
serviços de inteligência e de prevenção, de acordo com normas da instituição.","O acesso ao trabalho requer formação de nível superior, em academias militares. Para 
major e tenente-coronel requer-se pós-graduação em áreas de segurança, socorro e 
proteção públicos; para os coronéis há exigência de mestrado. A atuação em postos de 
alto comando requer, no mínimo, cinco anos de experiência como oficial."
0302-05 Capitão Bombeiro Militar - Capitão do Corpo de Bombeiros Militar.,"Desenvolvem atividades administrativas em nível tático e operacional de bombeiro militar. 
Exercem funções de assessoramento e de comando de companhias de bombeiro militar, 
em espaço geográfico atribuído a um grupamento de bombeiros. Para tanto, adminis­
tram recursos humanos, materiais e financeiros; comandam atividades de prevenção de 
sinistros; planejam atividades operacionais e administrativas.  Administram e coordenam 
atividades de emergências e de combate a incêndios. Estabelecem parcerias com institui­
ções afins e assessoram o comando em atividades operacionais e administrativas.","O exercício dessa ocupação requer curso de nível superior na área de segurança pública, 
para situações de emergência e calamidade pública. O pleno desempenho profissional 
ocorre após cinco anos de atuação na área."
